GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900030514400,Hartford County,57000,0.242284963887065,0.11326781326781327
G0900030514500,Hartford County,68333,0.3209042865531415,0.0455933682373473
G0900030514600,Hartford County,53343,0.282312925170068,0.14461480219572212
G0900030514700,Hartford County,39140,0.22121322193970214,0.19
G0900030514800,Hartford County,39866,0.18163771712158808,0.3047820823244552
G0900030514900,Hartford County,86528,0.31922896097790315,0.058640910658847877
G0900030515000,Hartford County,95303,0.45667125171939477,0.034633385335413415
G0900030515101,Hartford County,74211,0.32824025289778713,0.07791057990261177
G0900030515102,Hartford County,76899,0.5275827482447342,0.0880863989200135
G0900030515200,Hartford County,112112,0.5760330578512397,0.015269655620532813
G0900030520100,Hartford County,130375,0.6527457314259345,0.03812913065582105
G0900030520201,Hartford County,163188,0.6743278404163053,0.022935779816513763
G0900030520202,Hartford County,150956,0.670299727520436,0.012496937025238911
G0900030520301,Hartford County,85647,0.5153550863723608,0.08345086976962858
G0900030520302,Hartford County,67281,0.4594166138237159,0.0919740777666999
G0900030520400,Hartford County,117163,0.6091913699350991,0.019737648645335296
G0900030520501,Hartford County,164167,0.6874176548089591,0.018880800727934487
G0900030524100,Hartford County,109750,0.4918848734040251,0.027121888959795788
G0900030524200,Hartford County,85633,0.4800804828973843,0.08388771702093137
G0900030524300,Hartford County,85514,0.22035815268614514,0.03735554958344531
G0900030524400,Hartford County,31027,0.08224400871459694,0.3495238095238095
G0900030524501,Hartford County,41693,0.4805111821086262,0.13405797101449277
G0900030524502,Hartford County,57179,0.4354265402843602,0.20159503766061143
G0900030524600,Hartford County,36125,0.2778753292361721,0.20428280081577158
G0900030524700,Hartford County,68571,0.10453869047619048,0.10289017341040463
G0900030980000,Hartford County,NA,NA,NA
G0900050250100,Litchfield County,106429,0.5697416974169742,0.0246189917936694
G0900050253100,Litchfield County,63056,0.3183254344391785,0.05372370665150654
G0900050253200,Litchfield County,89219,0.39858944218850184,0.04659774726122512
G0900050253300,Litchfield County,83796,0.30590452261306533,0.021718602455146365
G0900050253400,Litchfield County,107857,0.46527623696472153,0.013909343806251022
G0900050253500,Litchfield County,112314,0.4515042658284688,0.052088452088452086
G0900050253600,Litchfield County,40156,0.3175783324482209,0.10986024844720498
G0900050260200,Litchfield County,68438,0.2244735796583234,0.09457315138051413
G0900050261100,Litchfield County,83698,0.6068796068796068,0.05023990968106125
G0900050262100,Litchfield County,78403,0.4307491289198606,0.13072877535687452
G0900050263200,Litchfield County,82083,0.5141700404858299,0.06989247311827956
G0900050265100,Litchfield County,107813,0.4954296160877514,0.03377902885292048
G0900050266100,Litchfield County,65985,0.413508260447036,0.10597826086956522
G0900050267100,Litchfield County,97604,0.531390134529148,0.06090609060906091
G0900050268100,Litchfield County,137656,0.6281725888324873,0.03479504289799809
G0900050290100,Litchfield County,111071,0.4205397301349325,0.02288204848815037
G0900050293100,Litchfield County,91786,0.28794848206071755,0.042798913043478264
G0900050296100,Litchfield County,98967,0.40461610927932173,0.07078729281767956
G0900050298300,Litchfield County,104948,0.30870841487279843,0.08628714643752237
G0900050298400,Litchfield County,117266,0.4351024697845507,0.012066365007541479
G0900050300100,Litchfield County,94200,0.41192560175054704,0.029449423815621
G0900050300400,Litchfield County,85441,0.4339502233567326,0.0751765893037336
G0900050300500,Litchfield County,66250,0.3723994452149792,0.10195974576271187
G0900050303100,Litchfield County,94500,0.37876960193003617,0.04589160839160839
G0900050306100,Litchfield County,99926,0.43354430379746833,0.029355077835433653
G0900050310100,Litchfield County,61676,0.23304825901038484,0.10295212106177128
G0900050310200,Litchfield County,40532,0.1103448275862069,0.18853135313531352
G0900050310300,Litchfield County,37500,0.20103092783505155,0.2739644970414201
G0900050310400,Litchfield County,70224,0.1687289088863892,0.05088400172488142
G0900050310500,Litchfield County,56719,0.2532981530343008,0.12762685802152743
G0900050310601,Litchfield County,98224,0.35200605601816803,0.04019292604501608
G0900050310602,Litchfield County,78409,0.19350117096018735,0.0431073192635833
G0900050310700,Litchfield County,68690,0.2692048517520216,0.04403004403004403
G0900050310801,Litchfield County,63056,0.20373421197144426,0.1377467105263158
G0900050310803,Litchfield County,46159,0.23948019801980197,0.08995910949568378
G0900050310804,Litchfield County,70313,0.19411485524442335,0.13759479956663057
G0900050320100,Litchfield County,55387,0.19619091326296467,0.2263912974932997
G0900050320200,Litchfield County,76287,0.29015979814970566,0.09695603156708005
G0900050342100,Litchfield County,93750,0.44370860927152317,0.06184056271981243
G0900050349100,Litchfield County,77201,0.28883903533370725,0.057950671746541005
G0900050349200,Litchfield County,64335,0.21973333333333334,0.11021814006888633
G0900050360100,Litchfield County,69276,0.40696042660679205,0.05212561418500321
G0900050360200,Litchfield County,104627,0.431605471562275,0.05738934733683421
G0900050360300,Litchfield County,77740,0.27872168284789645,0.06201771934838525
G0900050360400,Litchfield County,63221,0.1932227829848594,0.041166994809378916
G0900050362101,Litchfield County,70250,0.45972309628697294,0.04153207198892478
G0900050362102,Litchfield County,89427,0.475967463643086,0.05814174425232757
G0900050425300,Litchfield County,90022,0.273145108338805,0.044733044733044736
G0900050425400,Litchfield County,81602,0.2564635958395245,0.06643432803310825
G0900050425500,Litchfield County,67585,0.21498054474708173,0.03717598908594816
G0900050425600,Litchfield County,76667,0.43601675197766404,0.04684014869888476
G0900070541100,Middlesex County,41094,0.25216811207471646,0.21583300512012604
G0900070541200,Middlesex County,68480,0.41629834254143644,0.1324945940632986
G0900070541300,Middlesex County,72813,0.4572791372874326,0.05222013758599124
G0900070541401,Middlesex County,117500,0.4395359214636323,0.04047927461139896
G0900070541402,Middlesex County,76726,0.4274116523400191,0.08954423592493298
G0900070541500,Middlesex County,53633,0.47357512953367875,0.14273995077932733
G0900070541600,Middlesex County,21389,0.20277078085642317,0.40935192780968005
G0900070541700,Middlesex County,35368,0.23412506059137178,0.27901701323251415
G0900070542000,Middlesex County,73053,0.2360838244924689,0.07698132256436144
G0900070542100,Middlesex County,63259,0.40208522212148684,0.12551636479186526
G0900070542200,Middlesex County,88854,0.49048442906574397,0.0637101811367895
G0900070550100,Middlesex County,101301,0.4199623352165725,0.05019373018668545
G0900070550201,Middlesex County,110987,0.44236983842010774,0.04004004004004004
G0900070550202,Middlesex County,86618,0.2869637650978759,0.08986928104575163
G0900070560100,Middlesex County,112028,0.4238603297769156,0.042994176087701265
G0900070560200,Middlesex County,72398,0.2618510158013544,0.09504491451753115
G0900070570100,Middlesex County,96788,0.5274423710208562,0.03201187195251219
G0900070570200,Middlesex County,101683,0.4928390901432182,0.02442795299938157
G0900070570300,Middlesex County,78177,0.41123230447899745,0.06574333800841514
G0900070580100,Middlesex County,93750,0.35778985507246375,0.05769669327251995
G0900070585100,Middlesex County,117631,0.4918347742555235,0.04529616724738676
G0900070590100,Middlesex County,108800,0.45878542510121456,0.05263157894736842
G0900070595101,Middlesex County,93015,0.426781238811314,0.030081088150667016
G0900070595102,Middlesex County,90348,0.269316218217724,0.035077405447775815
G0900070600100,Middlesex County,92417,0.41495327102803736,0.04191761021440617
G0900070610100,Middlesex County,69607,0.4057071960297767,0.1
G0900070610200,Middlesex County,63342,0.3627485176142309,0.09898546750754045
G0900070610300,Middlesex County,84643,0.36838487972508593,0.079031859718449
G0900070610400,Middlesex County,93864,0.42505494505494507,0.033523086654016446
G0900070620100,Middlesex County,71641,0.4098258706467662,0.04742638795234884
G0900070630100,Middlesex County,87000,0.5448705470118747,0.05706814336255961
G0900070640100,Middlesex County,113068,0.5058746736292428,0.03583724569640063
G0900070670100,Middlesex County,92431,0.472682119205298,0.0367965367965368
G0900070670200,Middlesex County,75793,0.43682048804058954,0.04854368932038835
G0900070680100,Middlesex County,89489,0.4564484654958311,0.06515745174865767
G0900070680200,Middlesex County,84286,0.3504711183941008,0.07684426229508197
G0900070990100,Middlesex County,NA,NA,NA
G0900090120100,New Haven County,71042,0.2719152471956793,0.06355656697009103
G0900090120200,New Haven County,45284,0.1535571730453158,0.19990272373540857
